"Postcode5","Postcode5Boundary","Postcode5CenterLat","Postcode5CenterLng"
"01308","osbcGzohN~Eqq@zb@~C~n@i[|x@iD|xA}e@rWrG~Nua@fl@o@`\cLhiA|[hdCea@xWtYtM@vwAc\hd@y_@dDlq@iK`qAah@`l@ufAbd@pKnp@zIjA_GpQqI}HsShD{QeP}y@xSok@yOix@xEkg@zi@wz@lEePuWkd@dk@{T~Eyw@_FrCdQysBiFaGbImj@kq@qMiqB","42.5614263092","-2.50467590198"
"01309","am}bGn`rNzJya@Ac}Bxw@~EpTwEtd@mk@~DtSdJ~Bvz@mEjg@{i@hx@yEnk@xOnKaHlZz@~QsLzQdPfHkBUvIoXrJcBjNsPtIib@||@cXfGM|YkOl^yb@`Z{]mAc\nUmf@pJ}WnZsXhFwJj[}^uJuk@pe@uTyZ_MefA<br>{e~bGxbbOrZaVbd@_Kf~@yr@bDah@le@FbWvU|JYp|@}^vE}MjWkNrVtNb`AjAxSjc@bd@poBxN`SgkAp`Ag_AkFaKi\eQnAidAr_@_N`[efAaNii@qc@}e@xY{o@fC{TulAlN{K","42.5589265982","-2.58941061372"
"01320","i}~bGv|tMkCq{@d~@tSb|@wY|qAcJx\qRx_@pDji@{InJ|d@fZ~[hi@fnF|mA_UhO_Uf[aGp^gn@`jA`Db}@gQ{@loBqm@baAlZdqCxa@jZml@tj@}CeJw]rAeDmq@id@x_@yjAbZiDom@}j@aiBm[qS_YetAqTcB{k@~X}n@fm@{^vEwGaYef@fKqs@az@oaCqmAmZsd@}UIkQeT[gQv^qXfV_r@","42.5445606268","-2.43271874314"
"01321","kxkbGtvjN_HmFwT{f@gDqAv@cCrE{]zKnApLfEzAzHdEnA{Fv~@","42.5019782024","-2.50995299336"
"01322","ebtbGbysMf[`E`XwOf`@{@bb@m^jj@kDlCfpBjZ~jAq^fn@g[`GkXnZ{dAnOeHsqAyXsnAyE}kA<br>sd}bG~waNpJy{@rY_Nfe@VdJmRtJx@`RwPx|@oTvG`Yz^wE|n@gm@tRmBdXqUrSxA|YntAl[pS|j@`iBhDnm@sZ|@yWuYeKJcxBx`@iiA}[a\bLgl@n@uNpa@qWqG}g@xRaMqLgG_[_@}jA","42.5459783922","-2.45154842413"
"01330","csecGdz`P{Mi_@t`@}cAvYkUj^ow@hyAvs@v_@oM`m@~Dtn@jd@tZyBrOtcAzZ~v@ll@~J~JfScZvk@@pYhf@zOb^a@xOtODp]wu@|Tmm@hx@{}@zRcp@srBiR}P}m@aBiJ`\keAm]cJ`Ff`@hyArBpm@wb@lO{PxUgf@g^ke@c@yx@ndB_J_XqCqeBaVmmA`a@{|@}Bg_A`G}N|n@j@yEwv@","42.605624904","-2.80906981185"
"01340","owhbGt~zNmYcSwDoWoPqG{a@lo@}`@~_@hCjGnj@fThDbw@sB~y@tJtJ`UdBnb@nt@vGh_@[`RwLbLmh@fHoTjOqKjAqVmMkN|Dg^{H_Uy\oa@bTmLsWiA_b@yNaSoQcj@}[sxAlVeM~Doa@tLuWxu@os@`x@qGtW`DxMkT~_@mL`i@xWjW|XcF`R","42.5071821556","-2.62468827352"
"01400","q{ifG|j}PhAmMxOcFdP|JzV{VjTha@lVxHnX|`@d~@`o@o@pK``Apf@r`@`}@kXz{A}b@rf@ub@prAeWfPd@j]aPjNgj@zBiZv]uh@_VyUyo@_v@ceAuoAahAksA}jBkb@~a@yOe^rcAklAp]uxAzbAvm@fe@mn@do@s`@","43.1381470282","-2.97739135454"
"01408","ywbfGvdhQrBzAxEUxKwEzRhF|Hs@zHlBvC~DxGxDVrA~[`PTx@e@bCiAhAcHf@kEhA^lBg@jD_XkKsFuFwQwDmH_DyEQqBkAoAqEaDoCsBUqEmCf@wE","43.1005062066","-2.99980905481"
"01409","}}tfGngeQj@{Jxh@sFtx@u^xOd^jb@_b@fFxQdZnQ|p@reAtoA`hAbFlQzn@tr@xUxo@xc@hU}Ozi@kNxK`LjKbLdxAqC~}@qJpMA|_@eJvPgg@eMyGhm@{z@kw@o]urF}x@|Eix@ck@{r@wFka@zKeEeVsa@dYuKqf@qUbsAqa@x`Aq`@s^eEun@vf@qq@|RyDbCpJ|Nkj@d_@uFfRs_@}\{sBxA_a@_KmF","43.1682528589","-3.01777245946"
